DONU|Donahue Corp., The
BOMB|Bombardier Ltd.
PIXI|Pixie Piker Travel Trailer
USCW|U.S. COACHWORKS, INC.;ZEIGLER, IL
COUA|Country-Aire Travel Trailer
IND|Indian (Taiwan)
SCHF|SCHIFSKY TRAILERS
STOU|Stoughton Trailers, Inc.Stoughton, Wisconsin
NASA|Nasan Trailer
PARW|Parkwood Homes, Inc.
HIND|Hindustan
JIMA|Jim Dandy, Inc.Chickasha, Oklahoma
COOK|Cook Semi Trailer
HERI|Heritage Mobile Homes
TRTN|Triton Trailer Corp.Allentown, Wisconsin; manufacturestrailers including snowmobile trailers
VITO|Vito Mfg. Co.Hazleton, Pennsylvania
HYDE|Hyde Corp.Hurst, Texas
HOML|HomeliteDiv. Textron, Inc.
DERE|De Rose Industries Inc.Indianapolis, Indiana
ELCO|Elcona Homes Corp
ROBI|Robin Mfg. Co.
AMCO|A & M Coach
HAUT|Haul-It-All-Flatbed Trailer
COBU|Coburn Industries, Inc.
SIGN|Lear SieglerMfd. by Signal Div. of Lear Siegler,Inc.
ABER|Aberdeen Boat Trailer
LACY|Lacey, W.E. & Sons
LAYT|Layton Homes Corp.
WHKA|Whitehead & Kales
FROL|Frolic Homes, Inc.
GRDN|GREAT DANE INCORPORATED; FARM & GARDEN EQUIP
PEAK|PEAK MANUFACTURING, INC. NORTH BATLEFORD, SK CANADA
SECU|Security Industries
SUMM|Summers Mfg. Co.
SKYI|Skylark Industries, Inc.Bristol, Indiana
WILS|Wilson
RYCS|Rycsa
PHEP|Phelps Horse Trailer
DELK|DELKRON TRANSMISSION
FIBI|FIBERGLASS INTERNATIONAL, INC.; SCHALLER, IS
WISO|Penn RoyalMfd. by Wisconsin Homes, Inc.
MAYF|Mayflower Trailers or Homes
VALL|Valley Foundry & Machine Works
SNRZ|Remington HomesDallas, Texas (Division of SunrizonHomes, Inc.)
IONI|Ioni-A-Home Mfg. Co.
IRD|IRD
EXTR|Extreme Custom Trailers
EARI|Easy Rider Trailer
GGMA|Gas Gas Motors of America, LLC
SPEM|Specialty Mfg. Co.Red Bay, Alabama
WEHL|WE-HAUL TRAILERS; DIVISION OF FOREST RIVER, INC. GOSHEN. IN
SHIM|ShipmateSemek Mfg., Inc.
JUIL|Five-Star ST, LTD Edition. or C2(mfd. by Juili Entp. Co., Ltd.,imported by General Moped Co. Inc)
ENGF|English Ford (British)
CMPS|Campsite Mfg. Co.Seminole, Texas
JOPL|Joplin
GITA|Gitane
WIGW|Wigwam Motor Home
PRST|Prestige Custom TrailersChristopher,I1
COAM|MiddleburyMfd. by Coachmen Homes Div.Coachman Industries, Inc.
TRLP|TRL ENTERPRISES TRAILERS LOVELAND, COLORADO
OLGE|Olgen Mfg. Co.
CAMD|Camel Camper Trailer
PERC|I.B. Perch Co.
FAST|FAST ; SNOWMOBILES (TO INCLUDE BLADE MODEL)
AALI|Aalite Co.
JACO|EstatePower mowers--mfd. by Jacobsen Manu-facturing Co.
GARN|Gardner-Denver Cooper Industries, Inc.Denver, Colorado (formerly Gardener-Denver Co.)
BERT|Bertran Trailer
FRBA|Francis-Barnett
SIST|Silver Star Trailer
SALI|Saling Mfg. Co.
DURB|DurobiltEl Monte, California
JERR|Jerrytime Camper
UNEX|UNITED EXPRESS LINE,INC; BRISTOL INDIANA
DALE|Dalesman (United Kingdom)
CRGR|Charger
ASEC|All South Equipment Corp.
BOMG|Bomag Trailer
DELH|Delhi Metal Products, Ltd.Delhi, Ontario, Canada--mfrs. boattrailers
HURS|Hurst Trailers, Inc.Washburn, Tennessee
ZETR|Zetor/Zetor North America
ORIO|Oriole Trailer Mfg. Co.
DIVO|Divco-Wayne Industries
OPTI|Optima Ind., LLC
FELB|Felber
MMCO|Milwaukee Motorcycle Co.
JAC|Jackson Trailer
JIAL|Jialing Ind., Co., Ltd. Group
DOLI|Dolphin HomesDiv. Tidwell Ind., Inc., Haleyville,Alabama
BEAR|Motor Homes of America, Inc.
TURN|Turner
KURM|Kurmann Trailer Mfg. Co.
SPRR|Superior Office Trailer
GOOD|Good Mfg. Co.
CMPF|Campfire Travel Trailer
GRSO|Coventry Mobile HomeMfd. by Great Southwest Corp.
SYRE|Syrena
JSMH|J.S. Mobile Homes
CONI|Conestoga Mobile Homes
FLOW|Flow Boy, Inc.Norman, Oklahoma
SPEP|Spencer Sports Products
SHIV|Shivvers, Inc.
TRIU|Triumph
MANO|Manor Homes, Inc.
PINS|Pinson Truck Equipment Co.
HLFM|Haul-A-Fame, Inc.
MRTE|Motorette
DURA|Durant
DEVN|Devine's Machine & Design, Inc.Grantville, Pennsylvania
RAMR|Ramsey Trailers
VADO|Vador
STOC|Stockland
