RRU|(PLYM) Road Runner, Plymouth
880|(DODG) 880 Series, Dodge
616|(MAZD) 616, Mazda
EXC|(HYUN) Excel, Hyundai; (FORD) Excursion, Ford (see English, French, German, and Italian Ford)
IMP|(ISU) Impulse, Isuzu; (CHEV) Impala, Chevrolet; (HILL) IMP, Hillman; (ROOT) Imp, Rootes; (SUBA) Impreza, Outback Impreza, Subaru; (SUNB) IMP, Sunbeam
CL4|(MERZ) CLK430, Mercedes-Benz
LOY|(SUBA) Loyale, Subaru
SLX|(ACUR) SLX (sport utility), Acura
REA|(BUIC) Reatta, Buick
FZA|(OLDS) Firenza, Oldsmobile
PRE|(HOND) Prelude, Honda; (EGIL) Premier, Eagle; (LINC) Premiere, Lincoln-Continental; (MITS) Precis, Mitsubishi; (STU) President, Studebaker; (TOYT) Pre Runner, Toyota
ECP|(FORD) Escape, Ford (see English, French, German, and Italian Ford)
NEO|(DODG) Neon, Dodge; (PLYM) Neon, Plymouth
GIS|(ALFA) Giulia Spider, Alfa Romeo
X90|(SUZI) X-90 (sport utility), Suzuki
DAU|(RENA) Dauphine, Renault
M45|(INFI) M45, Infiniti
HEL|(AERO) Helicopters and other Rotor Wing (or rotary- blade drive aircraft)
XKR|(JAGU) XKR, Jaguar
I35|(INFI) I35, Infinit
635|(BMW) 635 Series, BMW
34L|(JAGU) 3.4 Litre, Jaguar
MAL|(CHEV) Malibu Maxx
PER|(ENGF) Perfect, English Ford (British)
COR|(BENT) Corniche, Bentley; (CHRY) Cordoba, Chrysler; (DODG) Coronet, Dodge; (EDSE) Corsair, Edsel; (ENGF) Corsair, English Ford (British); (MITS) Cordia, Mitsubishi; (ROL) Corniche, Rolls-Royce; (TOYT) Corona, Toyota; (VOLK) Corrado, Volkswagen
STA|(DODG) Stratus, Dodge; (FORD) Starliner, Ford (see English, French, German, and Italian Ford); (LINC) Standard, Lincoln-Continental; (MITS) Starion, Mitsubishi; (NASH) Statesman, Nash; (NISS) Stanza, Nissan; (OLDS) Starfire, Oldsmobile; (PONT) Star Chief, Pontiac; (PORS) Standard, Porsche; (SUBA) Standard, Subaru; (TOYT) Starlet, Toyota; (TRIU) Stag, Triumph
ASC|(ISU) Ascender, Isuzu
VAR|(VOLK) Variant, Volkswagen
GRA|(FORD) Granada, Ford (see English, French, German, and Italian Ford); (PONT) Grand Prix, Pontiac; (STU) Grand Turismo, Studebaker
Q45|(INFI) Q45, Infiniti
F15|(FORD) F-150XLT (has third door on passenger side), Ford (see English, French, German, and Italian Ford)
SRA|(GMC) Sierra, General Motors Corp.
LTD|(FORD) LTD, Ford (see English, French, German, and Italian Ford)
IPR|(CHRY) Imperial (for vehicle years prior to 1955 and for vehicle years 1990-1993; for 1955-1983, see make Imperial), Chrysler
